complaint,department,sentiment,urgency,cleaned
Electric pole leaning dangerously on road this has been ignored for weeks,Electricity,Negative,High,electric pole leaning dangerously road ignored week
Water pipeline burst near school flooding street urgent action needed,Water Supply,Negative,Critical,water pipeline burst near school flooding street urgent action needed
Driver using phone while driving dangerous,Transport,Negative,Low,driver using phone driving dangerous
Electricity bill extremely high this month wrong this has been ignored for weeks,Electricity,Negative,High,electricity bill extremely high month wrong ignored week
No power supply since 2 days in area authorities not responding,Electricity,Negative,High,power supply since day area authority responding
Leaking water pipe on main road flooding this has been ignored for weeks,Water Supply,Negative,High,leaking water pipe main road flooding ignored week
Water pipeline burst near school flooding street authorities not responding,Water Supply,Negative,High,water pipeline burst near school flooding street authority responding
Water pipeline burst near school flooding street residents suffering daily,Water Supply,Negative,High,water pipeline burst near school flooding street resident suffering daily
Dead animals near garbage dump not cleared,Sanitation,Negative,High,dead animal near garbage dump cleared
Leaking water pipe on main road flooding please fix this soon,Water Supply,Negative,Medium,leaking water pipe main road flooding please fix soon
Speeding bus nearly hit pedestrians near school authorities not responding,Transport,Negative,High,speeding bus nearly hit pedestrian near school authority responding
Water meter reading wrong for 6 months residents suffering daily,Water Supply,Negative,High,water meter reading wrong month resident suffering daily
Power cuts every evening 4 to 5 hours this has been ignored for weeks,Electricity,Negative,High,power cut every evening hour ignored week
Electricity bill extremely high this month wrong,Electricity,Negative,High,electricity bill extremely high month wrong
Large pothole on main road causing accidents this has been ignored for weeks,Roads,Negative,High,large pothole main road causing accident ignored week
Bridge near market has cracks urgent repair please fix this soon,Roads,Negative,Medium,bridge near market crack urgent repair please fix soon
Water pipeline burst near school flooding street,Water Supply,Negative,High,water pipeline burst near school flooding street
Overhead tank not filled regularly low pressure authorities not responding,Water Supply,Negative,High,overhead tank filled regularly low pressure authority responding
